ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,Total,InventoryItemCode,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
The Trust Insurance Group Ltd,jackiegriffiths@thetrustgroup.co.uk,5-6 Peter Street,,,,Saint Helier,JE2 4SP,Jersey,Invoice no: 1635,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
The Trust Insurance Group Ltd,jackiegriffiths@thetrustgroup.co.uk,5-6 Peter Street,,,,Saint Helier,JE2 4SP,Jersey,Invoice no: 1635,,2/3/2018,1/4/2018,,,Call charges,1,19.6,19.6,40.6,5% (VAT on Income),0.98,2.03,42.63,,,,
Pentagon,debbie.lawton@pentagon.je,"La Rue Sinatt, ",Rue des Pres Trading Estate,,,St. Saviour,JE27QT,United Kingdom,Invoice no: 1636,,2/3/2018,1/4/2018,,Sip,SIP Line,8,7,56,,5% (VAT on Income),2.8,,,,,,
Pentagon,debbie.lawton@pentagon.je,"La Rue Sinatt, ",Rue des Pres Trading Estate,,,St. Saviour,JE27QT,United Kingdom,Invoice no: 1636,,2/3/2018,1/4/2018,,,Call charges,1,327.01,327.01,383.01,5% (VAT on Income),16.35,19.15,402.16,,,,
Switch Digital ,hello@switch.je,Unit 6,Gloucester Street,,,St Helier,JE2 3DB,Jersey,Invoice no: 1637,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Switch Digital ,hello@switch.je,Unit 6,Gloucester Street,,,St Helier,JE2 3DB,Jersey,Invoice no: 1637,,2/3/2018,1/4/2018,,,Call charges,1,11.22,11.22,32.22,5% (VAT on Income),0.56,1.61,33.83,,,,
Baudains Executive Services,andrew@bes.je,29 Broad Street,,,,St Helier,JE2 3RR,United Kingdom,Invoice no: 1638,,2/3/2018,1/4/2018,,Sip,SIP Line,1,7,7,,5% (VAT on Income),0.35,,,,,,
Baudains Executive Services,andrew@bes.je,29 Broad Street,,,,St Helier,JE2 3RR,United Kingdom,Invoice no: 1638,,2/3/2018,1/4/2018,,,Call charges,1,11.98,11.98,18.98,5% (VAT on Income),0.6,0.95,19.93,,,,
Troys Estate Agency Ltd.,Chantelle.Langlois@troysjersey.com,23 Seale Street,,,,Saint Helier,JE2 3QG,Jersey,Invoice no: 1639,,2/3/2018,1/4/2018,,Sip,SIP Line,12,7,84,,5% (VAT on Income),4.2,,,,,,
Troys Estate Agency Ltd.,Chantelle.Langlois@troysjersey.com,23 Seale Street,,,,Saint Helier,JE2 3QG,Jersey,Invoice no: 1639,,2/3/2018,1/4/2018,,,Call charges,1,61,61,145,5% (VAT on Income),3.05,7.25,152.25,,,,
Falles Property Holdings,helen@fallesproperties.com,"1st Floor, Doué House",Longueville Road,,,St Saviour,JE2 7SA,United Kingdom,Invoice no: 1640,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Falles Property Holdings,helen@fallesproperties.com,"1st Floor, Doué House",Longueville Road,,,St Saviour,JE2 7SA,United Kingdom,Invoice no: 1640,,2/3/2018,1/4/2018,,,Call charges,1,33.27,33.27,54.27,5% (VAT on Income),1.66,2.71,56.98,,,,
Signtech Limited,signs@signtech.je,Lewis Lane,,,,Saint Helier,JE2 3PF,Jersey,Invoice no: 1641,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
Signtech Limited,signs@signtech.je,Lewis Lane,,,,Saint Helier,JE2 3PF,Jersey,Invoice no: 1641,,2/3/2018,1/4/2018,,,Call charges,1,62.8,62.8,90.8,5% (VAT on Income),3.14,4.54,95.34,,,,
Route du Fort Surgery,S.Chalker@rdf.gpnet.je,The Lido Medical Centre,Suite 2.2,St Saviours Road,,Saint Helier,JE2 7LA,Jersey,Invoice no: 1642,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
Route du Fort Surgery,S.Chalker@rdf.gpnet.je,The Lido Medical Centre,Suite 2.2,St Saviours Road,,Saint Helier,JE2 7LA,Jersey,Invoice no: 1642,,2/3/2018,1/4/2018,,,Call charges,1,139.49,139.49,167.49,5% (VAT on Income),6.97,8.37,175.86,,,,
Asset Leverage Consultants,enquiries@alc.je,"Second Floor, Weighbridge House,",Liberation Square,,,Saint Helier,JE2 3NA,United Kingdom,Invoice no: 1643,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Asset Leverage Consultants,enquiries@alc.je,"Second Floor, Weighbridge House,",Liberation Square,,,Saint Helier,JE2 3NA,United Kingdom,Invoice no: 1643,,2/3/2018,1/4/2018,,,Call charges,1,34.79,34.79,55.79,5% (VAT on Income),1.74,2.79,58.58,,,,
Tazinda ,accounts@tazinda.com,Cargo Unit 6,L' Avenue de la Commune,,,St. Peter,JE3 7BY,United Kingdom ,Invoice no: 1644,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
Tazinda ,accounts@tazinda.com,Cargo Unit 6,L' Avenue de la Commune,,,St. Peter,JE3 7BY,United Kingdom ,Invoice no: 1644,,2/3/2018,1/4/2018,,,Call charges,1,37.78,37.78,65.78,5% (VAT on Income),1.89,3.29,69.07,,,,
Advocate Claire Davies,russell.davies@jerseyfamily.law,29 Broad Street,,,,St Helier,JE2 3RR,Channel Islands,Invoice no: 1645,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Advocate Claire Davies,russell.davies@jerseyfamily.law,29 Broad Street,,,,St Helier,JE2 3RR,Channel Islands,Invoice no: 1645,,2/3/2018,1/4/2018,,,Call charges,1,19.39,19.39,33.39,5% (VAT on Income),0.97,1.67,35.06,,,,
Falles Motor Group,,Bagot Road Garage,Bagot Road,,,St Saviour,JE1 1BP,United Kingdom,Invoice no: 1646,,2/3/2018,1/4/2018,,Sip,SIP Line,5,7,35,,5% (VAT on Income),1.75,,,,,,
Falles Motor Group,,Bagot Road Garage,Bagot Road,,,St Saviour,JE1 1BP,United Kingdom,Invoice no: 1646,,2/3/2018,1/4/2018,,,Call charges,1,114.47,114.47,149.47,5% (VAT on Income),5.72,7.47,156.94,,,,
Nicholls Law (Jersey) Limited,info@nicholls-law.com,Suite 13,4 Wharf Street,,,St Helier,JE23NR,United Kingdom,Invoice no: 1647,,2/3/2018,1/4/2018,,Sip,SIP Line,1,7,7,,5% (VAT on Income),0.35,,,,,,
Nicholls Law (Jersey) Limited,info@nicholls-law.com,Suite 13,4 Wharf Street,,,St Helier,JE23NR,United Kingdom,Invoice no: 1647,,2/3/2018,1/4/2018,,,Call charges,1,1.58,1.58,8.58,5% (VAT on Income),0.08,0.43,9.01,,,,
Freelance Jersey,,Longueville Road,,,,St. Saviour,JE2 7SA,United Kingdom,Invoice no: 1648,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,5% (VAT on Income),2.1,,,,,,
Freelance Jersey,,Longueville Road,,,,St. Saviour,JE2 7SA,United Kingdom,Invoice no: 1648,,2/3/2018,1/4/2018,,,Call charges,1,155.36,155.36,197.36,5% (VAT on Income),7.77,9.87,207.23,,,,
Augre Physiotherapy Ltd,info@augrephysiotherapy.com,Lido Medical Centre,Suite 2.9 St Saviours Rd,St Saviours Rd,,St Helier,JE2 7LA,United Kingdom,Invoice no: 1649,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Augre Physiotherapy Ltd,info@augrephysiotherapy.com,Lido Medical Centre,Suite 2.9 St Saviours Rd,St Saviours Rd,,St Helier,JE2 7LA,United Kingdom,Invoice no: 1649,,2/3/2018,1/4/2018,,,Call charges,1,4.48,4.48,18.48,5% (VAT on Income),0.22,0.92,19.4,,,,
Indigo Estates,sales@indigo.je,31 Hill Street,,,,Saint Helier,JE2 4UA,United Kingdom,Invoice no: 1650,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Indigo Estates,sales@indigo.je,31 Hill Street,,,,Saint Helier,JE2 4UA,United Kingdom,Invoice no: 1650,,2/3/2018,1/4/2018,,,Call charges,1,63.77,63.77,84.77,5% (VAT on Income),3.19,4.24,89.01,,,,
MP Family Office Limited,alicia.mcginney@mpfamilyoffice.com,1st Floor,Meghraj House ,La Motte Street,,St Helier,JE4 8SD,Channel Islands ,Invoice no: 1651,,2/3/2018,1/4/2018,,Sip,SIP Line,1,7,7,,5% (VAT on Income),0.35,,,,,,
MP Family Office Limited,alicia.mcginney@mpfamilyoffice.com,1st Floor,Meghraj House ,La Motte Street,,St Helier,JE4 8SD,Channel Islands ,Invoice no: 1651,,2/3/2018,1/4/2018,,,Call charges,1,4.68,4.68,11.68,5% (VAT on Income),0.23,0.58,12.26,,,,
Lido Medical Practice ,lidomedicalpractice@lmp.gpnet.je,Suite3.06 Lido Medical Centre,St Saviours Road,,,St Saviours,JE2 37LA,United Kingdom,Invoice no: 1652,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Lido Medical Practice ,lidomedicalpractice@lmp.gpnet.je,Suite3.06 Lido Medical Centre,St Saviours Road,,,St Saviours,JE2 37LA,United Kingdom,Invoice no: 1652,,2/3/2018,1/4/2018,,,Call charges,1,72.98,72.98,93.98,5% (VAT on Income),3.65,4.7,98.68,,,,
ATF Fuels ,accounts@atffuels.com,L'Avenue de la Commune,,,,St Peter,JE3 7NS,Channel Islands,Invoice no: 1653,,2/3/2018,1/4/2018,,Sip,SIP Line,8,7,56,,5% (VAT on Income),2.8,,,,,,
ATF Fuels ,accounts@atffuels.com,L'Avenue de la Commune,,,,St Peter,JE3 7NS,Channel Islands,Invoice no: 1653,,2/3/2018,1/4/2018,,,Call charges,1,61.62,61.62,117.62,5% (VAT on Income),3.08,5.88,123.5,,,,
